Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: prestaciones por desempleo;2022;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: prestaciones por desempleo;2021;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: prestaciones por desempleo;2020;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: prestaciones por desempleo;2019;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: prestaciones por desempleo;2018;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: prestaciones por desempleo;2017;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: prestaciones por desempleo;2016;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: prestaciones por desempleo;2015;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otras prestaciones;2023;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otras prestaciones;2022;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otras prestaciones;2021;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otras prestaciones;2020;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otras prestaciones;2019;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otras prestaciones;2018;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otras prestaciones;2017;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otras prestaciones;2016;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otras prestaciones;2015;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otros ingresos;2023;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otros ingresos;2022;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Fuente de ingreso: otros ingresos;2021;.
