Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
47002 Aguasal;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
47002 Aguasal;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
47002 Aguasal;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
