Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
09003 Adrada de Haza;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
09003 Adrada de Haza;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
09003 Adrada de Haza;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
