Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población de 65 y más años;2023;39,8
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población de 65 y más años;2022;38,8
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población de 65 y más años;2021;38,1
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población de 65 y más años;2020;38,4
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población de 65 y más años;2019;38,2
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población de 65 y más años;2018;39,7
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población de 65 y más años;2017;40,4
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población de 65 y más años;2016;40,2
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población de 65 y más años;2015;37,1
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Tamaño medio del hogar;2023;2
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Tamaño medio del hogar;2022;2
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Tamaño medio del hogar;2021;2,1
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Tamaño medio del hogar;2020;2,1
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Tamaño medio del hogar;2019;2,1
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Tamaño medio del hogar;2018;2,1
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Tamaño medio del hogar;2017;2,1
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Tamaño medio del hogar;2016;2,2
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Tamaño medio del hogar;2015;2,3
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de hogares unipersonales;2023;49,2
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de hogares unipersonales;2022;46,9
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de hogares unipersonales;2021;44,7
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de hogares unipersonales;2020;45,7
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de hogares unipersonales;2019;44
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de hogares unipersonales;2018;45,3
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de hogares unipersonales;2017;41,7
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de hogares unipersonales;2016;40,8
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de hogares unipersonales;2015;37
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Población;2023;387
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Población;2022;394
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Población;2021;389
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Población;2020;388
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Población;2019;411
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Población;2018;396
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Población;2017;403
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Población;2016;413
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Población;2015;434
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población española;2023;98,7
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población española;2022;98
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población española;2021;97,7
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población española;2020;97,4
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población española;2019;95,6
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población española;2018;96,9
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población española;2017;95,5
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población española;2016;94,4
24063 Cubillas de Rueda;2406301 Cubillas de Rueda distrito 01;2406301001 Cubillas de Rueda sección 01001;Porcentaje de población española;2015;92,9
24064 Cubillos del Sil;;;Edad media de la población;2023;47,9
24064 Cubillos del Sil;;;Edad media de la población;2022;47,3
24064 Cubillos del Sil;;;Edad media de la población;2021;47
24064 Cubillos del Sil;;;Edad media de la población;2020;46,4
24064 Cubillos del Sil;;;Edad media de la población;2019;46,6
24064 Cubillos del Sil;;;Edad media de la población;2018;46
24064 Cubillos del Sil;;;Edad media de la población;2017;45,7
24064 Cubillos del Sil;;;Edad media de la población;2016;45,3
24064 Cubillos del Sil;;;Edad media de la población;2015;45,4
24064 Cubillos del Sil;;;Porcentaje de población menor de 18 años;2023;13,3
24064 Cubillos del Sil;;;Porcentaje de población menor de 18 años;2022;13,7
24064 Cubillos del Sil;;;Porcentaje de población menor de 18 años;2021;13,6
24064 Cubillos del Sil;;;Porcentaje de población menor de 18 años;2020;14
24064 Cubillos del Sil;;;Porcentaje de población menor de 18 años;2019;13,7
24064 Cubillos del Sil;;;Porcentaje de población menor de 18 años;2018;14,4
24064 Cubillos del Sil;;;Porcentaje de población menor de 18 años;2017;14,7
24064 Cubillos del Sil;;;Porcentaje de población menor de 18 años;2016;14,7
24064 Cubillos del Sil;;;Porcentaje de población menor de 18 años;2015;14,1
24064 Cubillos del Sil;;;Porcentaje de población de 65 y más años;2023;24,5
24064 Cubillos del Sil;;;Porcentaje de población de 65 y más años;2022;23,8
24064 Cubillos del Sil;;;Porcentaje de población de 65 y más años;2021;23,2
24064 Cubillos del Sil;;;Porcentaje de población de 65 y más años;2020;22,7
24064 Cubillos del Sil;;;Porcentaje de población de 65 y más años;2019;22,8
24064 Cubillos del Sil;;;Porcentaje de población de 65 y más años;2018;22,7
24064 Cubillos del Sil;;;Porcentaje de población de 65 y más años;2017;22,5
24064 Cubillos del Sil;;;Porcentaje de población de 65 y más años;2016;22,5
24064 Cubillos del Sil;;;Porcentaje de población de 65 y más años;2015;22,4
24064 Cubillos del Sil;;;Tamaño medio del hogar;2023;2,5
24064 Cubillos del Sil;;;Tamaño medio del hogar;2022;2,5
24064 Cubillos del Sil;;;Tamaño medio del hogar;2021;2,5
24064 Cubillos del Sil;;;Tamaño medio del hogar;2020;2,6
24064 Cubillos del Sil;;;Tamaño medio del hogar;2019;2,6
24064 Cubillos del Sil;;;Tamaño medio del hogar;2018;2,6
24064 Cubillos del Sil;;;Tamaño medio del hogar;2017;2,6
24064 Cubillos del Sil;;;Tamaño medio del hogar;2016;2,6
24064 Cubillos del Sil;;;Tamaño medio del hogar;2015;2,6
24064 Cubillos del Sil;;;Porcentaje de hogares unipersonales;2023;27
24064 Cubillos del Sil;;;Porcentaje de hogares unipersonales;2022;27
24064 Cubillos del Sil;;;Porcentaje de hogares unipersonales;2021;26
24064 Cubillos del Sil;;;Porcentaje de hogares unipersonales;2020;25,1
24064 Cubillos del Sil;;;Porcentaje de hogares unipersonales;2019;26,3
24064 Cubillos del Sil;;;Porcentaje de hogares unipersonales;2018;26,2
24064 Cubillos del Sil;;;Porcentaje de hogares unipersonales;2017;24,7
24064 Cubillos del Sil;;;Porcentaje de hogares unipersonales;2016;23,5
24064 Cubillos del Sil;;;Porcentaje de hogares unipersonales;2015;25,5
24064 Cubillos del Sil;;;Población;2023;1.721
24064 Cubillos del Sil;;;Población;2022;1.743
24064 Cubillos del Sil;;;Población;2021;1.785
24064 Cubillos del Sil;;;Población;2020;1.797
24064 Cubillos del Sil;;;Población;2019;1.769
24064 Cubillos del Sil;;;Población;2018;1.817
24064 Cubillos del Sil;;;Población;2017;1.836
24064 Cubillos del Sil;;;Población;2016;1.849
24064 Cubillos del Sil;;;Población;2015;1.810
24064 Cubillos del Sil;;;Porcentaje de población española;2023;97,6
24064 Cubillos del Sil;;;Porcentaje de población española;2022;97,6
24064 Cubillos del Sil;;;Porcentaje de población española;2021;97,7
24064 Cubillos del Sil;;;Porcentaje de población española;2020;97,6
24064 Cubillos del Sil;;;Porcentaje de población española;2019;97,3
24064 Cubillos del Sil;;;Porcentaje de población española;2018;97,4
24064 Cubillos del Sil;;;Porcentaje de población española;2017;97,5
24064 Cubillos del Sil;;;Porcentaje de población española;2016;97,7
24064 Cubillos del Sil;;;Porcentaje de población española;2015;97,3
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Edad media de la población;2023;47,9
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Edad media de la población;2022;47,3
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Edad media de la población;2021;47
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Edad media de la población;2020;46,4
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Edad media de la población;2019;46,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Edad media de la población;2018;46
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Edad media de la población;2017;45,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Edad media de la población;2016;45,3
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Edad media de la población;2015;45,4
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población menor de 18 años;2023;13,3
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población menor de 18 años;2022;13,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población menor de 18 años;2021;13,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población menor de 18 años;2020;14
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población menor de 18 años;2019;13,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población menor de 18 años;2018;14,4
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población menor de 18 años;2017;14,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población menor de 18 años;2016;14,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;;Porcentaje de población menor de 18 años;2015;14,1
